speed,acceleration,temperature,humidity,roadGrade
53.10982934,0.0,43.82,0.69,-0.0005650377638034
53.10982934,0.0,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,-0.0007035065314675
52.30515934,-0.2235194444444435,43.82,0.69,0.0
52.30515934,0.0,43.82,0.69,0.0
51.50048934,-0.2235194444444452,43.82,0.69,0.0
50.69581934,-0.2235194444444417,43.82,0.69,0.0
48.28180934,-0.670558333333334,43.82,0.69,0.0
46.67246934,-0.4470388888888905,43.82,0.69,0.0
45.06312934,-0.4470388888888852,43.82,0.69,0.0
39.42883,-1.5650831500000049,43.82,0.69,0.0
33.79614,-1.5646361111111098,43.82,0.69,0.0
27.35878,-1.788155555555555,43.82,0.69,0.000148657643991
22.53076,-1.3411166666666654,43.82,0.69,0.0
18.50741,-1.1175972222222228,43.82,0.69,0.0
12.87472,-1.5646361111111116,43.82,0.69,0.0
7.24203,-1.5646361111111111,43.82,0.69,0.0
2.41401,-1.3411166666666663,43.82,0.69,0.0
1.60934,-0.2235194444444445,43.82,0.69,0.0
6.43736,1.3411166666666667,43.82,0.69,0.0
10.46071,1.1175972222222224,43.82,0.69,0.0
14.48406,1.117597222222222,43.82,0.69,0.0
17.70274,0.8940777777777775,43.82,0.69,0.0
20.92142,0.8940777777777784,43.82,0.69,0.0
24.94477,1.117597222222221,43.82,0.69,0.0
28.96812,1.1175972222222228,43.82,0.69,0.0
32.99147,1.1175972222222228,43.82,0.69,0.0
36.21015,0.8940777777777775,43.82,0.69,0.0
38.62416,0.670558333333334,43.82,0.69,0.0
41.03817,0.6705583333333323,43.82,0.69,0.0
41.03817,0.0,43.82,0.69,0.0
40.2335,-0.2235194444444435,43.82,0.69,0.0001209234488026
38.62416,-0.4470388888888887,43.82,0.69,0.0
37.81949,-0.2235194444444435,43.82,0.69,0.0
37.01482,-0.2235194444444452,43.82,0.69,0.0
35.40548,-0.4470388888888905,43.82,0.69,0.0
34.60081,-0.2235194444444417,43.82,0.69,0.0
31.38213,-0.8940777777777793,43.82,0.69,0.0
27.35878,-1.1175972222222228,43.82,0.69,0.0
24.1401,-0.8940777777777775,43.82,0.69,0.0
22.53076,-0.4470388888888879,43.82,0.69,0.0
20.11675,-0.670558333333334,43.82,0.69,0.0
15.28873,-1.3411166666666672,43.82,0.69,0.0
9.65604,-1.564636111111111,43.82,0.69,0.0
4.02335,-1.5646361111111111,43.82,0.69,0.0
1.60934,-0.6705583333333333,43.82,0.69,0.0
0.0,-0.4470388888888889,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.0,0.0,43.82,0.69,0.0
0.80467,0.2235194444444444,43.82,0.69,0.0
2.41401,0.4470388888888889,43.82,0.69,0.0
7.24203,1.3411166666666663,43.82,0.69,0.0
11.26538,1.1175972222222228,43.82,0.69,0.0
15.28873,1.1175972222222217,43.82,0.69,0.0
19.31208,1.1175972222222228,43.82,0.69,0.0
23.33543,1.117597222222222,43.82,0.69,0.0
27.35878,1.117597222222222,43.82,0.69,0.0
30.57746,0.8940777777777775,43.82,0.69,0.0
34.60081,1.1175972222222246,43.82,0.69,0.0
37.81949,0.8940777777777775,43.82,0.69,0.0
41.84444934,1.1180442611111108,43.82,0.69,0.0
44.25845934,0.6705583333333323,43.82,0.69,0.0
46.67246934,0.6705583333333323,43.82,0.69,0.0
49.08647934,0.6705583333333358,43.82,0.69,0.0
50.69581934,0.4470388888888887,43.82,0.69,0.0
51.50048934,0.2235194444444417,43.82,0.69,-0.0001172152807207
51.50048934,0.0,43.82,0.69,0.0
51.50048934,0.0,43.82,0.69,0.0
51.50048934,0.0,43.82,0.69,0.0
51.50048934,0.0,43.82,0.69,0.0
51.50048934,0.0,43.82,0.69,0.0
50.69581934,-0.2235194444444417,43.82,0.69,0.0
50.69581934,0.0,43.82,0.69,0.0
50.69581934,0.0,43.82,0.69,0.0
50.69581934,0.0,43.82,0.69,0.0
50.69581934,0.0,43.82,0.69,0.0
51.50048934,0.2235194444444417,43.82,0.69,-0.0006516630625926
51.50048934,0.0,43.82,0.69,0.0
52.30515934,0.2235194444444452,43.82,0.69,0.0
52.30515934,0.0,43.82,0.69,0.0
53.10982934,0.2235194444444435,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,0.0
53.91449934,0.223519444444447,43.82,0.69,0.0
53.91449934,0.0,43.82,0.69,0.0
53.91449934,0.0,43.82,0.69,0.0
53.91449934,0.0,43.82,0.69,-0.0014553535947239
54.71916933999999,0.2235194444444417,43.82,0.69,0.0
54.71916933999999,0.0,43.82,0.69,0.0
54.71916933999999,0.0,43.82,0.69,0.0
54.71916933999999,0.0,43.82,0.69,0.0
53.91449934,-0.2235194444444417,43.82,0.69,0.0
53.91449934,0.0,43.82,0.69,0.0
49.89114934,-1.1175972222222246,43.82,0.69,0.0
48.28180934,-0.447038888888887,43.82,0.69,0.0
47.47713934,-0.2235194444444452,43.82,0.69,0.0
46.67246934,-0.2235194444444452,43.82,0.69,-1.5489987787558936e-05
46.67246934,0.0,43.82,0.69,0.0
47.47713934,0.2235194444444452,43.82,0.69,0.0
47.47713934,0.0,43.82,0.69,0.0
47.47713934,0.0,43.82,0.69,0.0
46.67246934,-0.2235194444444452,43.82,0.69,0.0
46.67246934,0.0,43.82,0.69,0.0
46.67246934,0.0,43.82,0.69,0.0
45.867799340000005,-0.2235194444444417,43.82,0.69,0.0
45.867799340000005,0.0,43.82,0.69,0.0
45.867799340000005,0.0,43.82,0.69,-2.8672570334640456e-05
45.06312934,-0.2235194444444435,43.82,0.69,0.0
45.06312934,0.0,43.82,0.69,0.0
45.06312934,0.0,43.82,0.69,0.0
44.25845934,-0.223519444444447,43.82,0.69,0.0
44.25845934,0.0,43.82,0.69,0.0
44.25845934,0.0,43.82,0.69,0.0
43.45378934,-0.2235194444444435,43.82,0.69,0.0
42.64911934,-0.223519444444447,43.82,0.69,0.0
41.84444934,-0.2235194444444417,43.82,0.69,0.0
41.03817,-0.223966483333335,43.82,0.69,0.0
40.2335,-0.2235194444444435,43.82,0.69,0.0
40.2335,0.0,43.82,0.69,0.0
40.2335,0.0,43.82,0.69,0.0
39.42883,-0.223519444444447,43.82,0.69,0.0
38.62416,-0.2235194444444417,43.82,0.69,0.0
38.62416,0.0,43.82,0.69,0.0
37.81949,-0.2235194444444435,43.82,0.69,0.0
37.01482,-0.2235194444444452,43.82,0.69,0.0
37.81949,0.2235194444444452,43.82,0.69,0.0013582638545061
37.81949,0.0,43.82,0.69,0.0
38.62416,0.2235194444444435,43.82,0.69,0.0
39.42883,0.2235194444444417,43.82,0.69,0.0
41.03817,0.4470388888888905,43.82,0.69,0.0
42.64911934,0.4474859277777767,43.82,0.69,0.0
44.25845934,0.4470388888888905,43.82,0.69,0.0
45.867799340000005,0.4470388888888905,43.82,0.69,0.0
46.67246934,0.2235194444444417,43.82,0.69,0.0
48.28180934,0.4470388888888905,43.82,0.69,0.0
49.08647934,0.2235194444444452,43.82,0.69,0.0
49.08647934,0.0,43.82,0.69,-0.0003024202351039
49.89114934,0.2235194444444417,43.82,0.69,0.0
50.69581934,0.223519444444447,43.82,0.69,0.0
51.50048934,0.2235194444444417,43.82,0.69,0.0
52.30515934,0.2235194444444452,43.82,0.69,0.0
53.10982934,0.2235194444444435,43.82,0.69,0.0
53.91449934,0.223519444444447,43.82,0.69,0.0
54.71916933999999,0.2235194444444417,43.82,0.69,0.0
54.71916933999999,0.0,43.82,0.69,0.0
54.71916933999999,0.0,43.82,0.69,0.0
55.52383934,0.2235194444444435,43.82,0.69,-0.0012609312454107
55.52383934,0.0,43.82,0.69,0.0
55.52383934,0.0,43.82,0.69,0.0
54.71916933999999,-0.2235194444444435,43.82,0.69,0.0
54.71916933999999,0.0,43.82,0.69,0.0
54.71916933999999,0.0,43.82,0.69,0.0
53.91449934,-0.2235194444444417,43.82,0.69,0.0
53.10982934,-0.223519444444447,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,0.0
53.10982934,0.0,43.82,0.69,0.0005952657751556
52.30515934,-0.2235194444444435,43.82,0.69,0.0
52.30515934,0.0,43.82,0.69,0.0
52.30515934,0.0,43.82,0.69,0.0
52.30515934,0.0,43.82,0.69,0.0
53.10982934,0.2235194444444435,43.82,0.69,0.0
53.91449934,0.223519444444447,43.82,0.69,0.0
53.91449934,0.0,43.82,0.69,0.0
53.91449934,0.0,43.82,0.69,0.0
53.91449934,0.0,43.82,0.69,0.0
53.91449934,0.0,43.82,0.69,0.0003060512730783
53.91449934,0.0,43.82,0.69,0.0
53.91449934,0.0,43.82,0.69,0.0
53.91449934,0.0,43.82,0.69,0.0
53.91449934,0.0,43.82,0.69,0.0
53.10982934,-0.223519444444447,43.82,0.69,0.0
52.30515934,-0.2235194444444435,43.82,0.69,0.0
52.30515934,0.0,43.82,0.69,0.0
50.69581934,-0.447038888888887,43.82,0.69,0.0
49.08647934,-0.4470388888888887,43.82,0.69,0.0
48.28180934,-0.2235194444444452,43.82,0.69,0.0
43.45378934,-1.3411166666666663,43.82,0.69,0.0
35.40548,-2.235641483333336,43.82,0.69,0.0
28.96812,-1.788155555555555,43.82,0.69,0.0
24.1401,-1.3411166666666663,43.82,0.69,0.0
20.92142,-0.8940777777777775,43.82,0.69,0.0
18.50741,-0.6705583333333331,43.82,0.69,0.0
16.89807,-0.4470388888888896,43.82,0.69,0.0
16.89807,0.0,43.82,0.69,0.0
18.50741,0.4470388888888896,43.82,0.69,0.0007616552870975
20.11675,0.4470388888888887,43.82,0.69,0.0
23.33543,0.8940777777777775,43.82,0.69,0.0
26.55411,0.8940777777777784,43.82,0.69,0.0
28.96812,0.6705583333333323,43.82,0.69,0.0
32.1868,0.8940777777777775,43.82,0.69,0.0
35.40548,0.8940777777777775,43.82,0.69,0.0
37.01482,0.4470388888888905,43.82,0.69,0.0
40.2335,0.8940777777777775,43.82,0.69,0.0
42.64911934,0.6710053722222202,43.82,0.69,0.0
44.25845934,0.4470388888888905,43.82,0.69,0.0
45.867799340000005,0.4470388888888905,43.82,0.69,0.0
47.47713934,0.447038888888887,43.82,0.69,0.0
49.08647934,0.4470388888888905,43.82,0.69,0.0
50.69581934,0.4470388888888887,43.82,0.69,0.0
52.30515934,0.447038888888887,43.82,0.69,0.0
53.10982934,0.2235194444444435,43.82,0.69,0.0
53.91449934,0.223519444444447,43.82,0.69,0.0
